feature,importance
num__host_is_superhost,0.12467407576395433
num__review_scores_accuracy_missing,0.06703740501428192
num__review_scores_checkin_missing,0.06284954659793146
num__review_scores_rating_missing,0.0517836439753288
num__minimum_nights,0.04959948061948916
num__review_scores_value_missing,0.048534670324523514
num__review_scores_communication_missing,0.048234640735036916
num__review_scores_cleanliness_missing,0.04761456130435589
num__review_scores_location_missing,0.0435496401095921
num__host_listings_count,0.03808041261266983
num__listing_cluster,0.035525957697250754
num__review_scores_value,0.028801595599395154
num__calculated_host_listings_count,0.028579682479891552
num__review_scores_rating,0.026337401736478746
num__beds,0.026185538695158595
num__review_scores_accuracy,0.026068591307420938
num__maximum_nights,0.02577394625478639
num__hosts_time_as_host_years,0.025242362652037595
num__review_scores_cleanliness,0.024901492262460207
num__review_scores_checkin,0.024803286152676407
num__review_scores_communication,0.02400394292567959
num__calculated_host_listings_count_entire_homes,0.02201285513644254
num__review_scores_location,0.021329878827091565
num__calculated_host_listings_count_private_rooms,0.010899609155579906
num__longitude,0.008302335346948238
num__latitude,0.007629344750664324
num__bedrooms,0.005830916219555894
num__accommodates,0.004920400853045696
num__bathrooms,0.0038497773901772373
cat__property_type_Private room in rental unit,0.002952174548137103
cat__property_type_Entire rental unit,0.0026746972716297775
cat__room_type_Entire home/apt,0.0025561262824499854
num__host_identity_verified,0.0023027664998703703
cat__neighbourhood_group_cleansed_Manhattan,0.0020960220981793565
cat__property_type_Private room in home,0.0019622236405639278
cat__property_type_Room in hotel,0.001850622461248077
cat__room_type_Private room,0.0016449522111863177
cat__neighbourhood_group_cleansed_Queens,0.0010783823052239413
cat__neighbourhood_group_cleansed_Brooklyn,0.0010655213001881676
cat__neighbourhood_cleansed_Midtown,0.0008434370260205689
cat__neighbourhood_cleansed_Financial District,0.0007873617678934756
cat__neighbourhood_cleansed_Williamsburg,0.000754479066502592
cat__neighbourhood_cleansed_Greenpoint,0.0006300646327295067
cat__property_type_Private room in townhouse,0.0005992752880020156
cat__neighbourhood_cleansed_Upper East Side,0.0005912625444691868
cat__room_type_Hotel room,0.0005247628012728021
cat__property_type_Entire guest suite,0.0004984526156110738
cat__neighbourhood_cleansed_Bushwick,0.0004748418742380971
cat__property_type_Entire condo,0.0004571368633463334
cat__neighbourhood_cleansed_Bedford-Stuyvesant,0.0003957593914483387
cat__property_type_Entire home,0.00035819552667221637
cat__neighbourhood_cleansed_Hell's Kitchen,0.0003534248824164046
cat__neighbourhood_cleansed_Harlem,0.000343515111597736
cat__property_type_Room in boutique hotel,0.00031485171466222263
cat__neighbourhood_cleansed_Upper West Side,0.00029806267193673974
cat__neighbourhood_group_cleansed_Bronx,0.000293014435078122
cat__neighbourhood_cleansed_Chelsea,0.000246591616562915
cat__neighbourhood_cleansed_Flatbush,0.0002374084068992726
cat__neighbourhood_cleansed_East Village,0.00023575473745082476
cat__neighbourhood_group_cleansed_Staten Island,0.00021551243842514312
cat__neighbourhood_cleansed_Fort Hamilton,0.00021522829649317981
num__calculated_host_listings_count_shared_rooms,0.00021379534997177356
cat__property_type_Entire loft,0.00020703045439378836
cat__neighbourhood_cleansed_East Flatbush,0.0002065706528596426
cat__property_type_Private room in condo,0.00020286404735080898
cat__neighbourhood_cleansed_Murray Hill,0.0001934325260367572
cat__neighbourhood_cleansed_Sunset Park,0.0001862297909608634
cat__neighbourhood_cleansed_Crown Heights,0.0001835930634156012
cat__property_type_Entire townhouse,0.00018168307919415303
cat__neighbourhood_cleansed_Jamaica,0.00018099315282011703
cat__neighbourhood_cleansed_East New York,0.0001683255175397617
cat__neighbourhood_cleansed_Flushing,0.00015565123402132871
cat__neighbourhood_cleansed_Washington Heights,0.00015308707067698693
cat__neighbourhood_cleansed_Sunnyside,0.0001412016795994942
cat__property_type_Private room in loft,0.00013973910899041272
cat__neighbourhood_cleansed_Theater District,0.00013615002014288468
cat__neighbourhood_cleansed_East Harlem,0.00012609403124963614
cat__neighbourhood_cleansed_Woodside,0.00012564806418746886
cat__property_type_Private room in guest suite,0.0001235615579061129
cat__neighbourhood_cleansed_Clinton Hill,0.00012255209429972317
cat__neighbourhood_cleansed_Astoria,0.00012249554319897197
cat__property_type_Private room in serviced apartment,0.00012219286140017506
cat__neighbourhood_cleansed_Prospect-Lefferts Gardens,0.00011965161821675396
cat__neighbourhood_cleansed_Lower East Side,0.0001194921139790859
cat__neighbourhood_cleansed_Long Island City,0.00011793777535516308
cat__neighbourhood_cleansed_Gramercy,0.0001143627097706084
cat__neighbourhood_cleansed_Cypress Hills,0.00011234765419971674
cat__neighbourhood_cleansed_Canarsie,0.00010629545389651121
cat__neighbourhood_cleansed_Ridgewood,0.0001048554428380737
cat__neighbourhood_cleansed_SoHo,0.00010281472417541356
cat__neighbourhood_cleansed_Kips Bay,0.0001009843096652518
cat__neighbourhood_cleansed_Elmhurst,0.00010036907253712133
cat__neighbourhood_cleansed_West Village,9.919619590884273e-05
cat__neighbourhood_cleansed_Little Italy,9.588604076729737e-05
cat__property_type_Entire serviced apartment,9.538883588517834e-05
cat__neighbourhood_cleansed_Bay Ridge,8.953155269045211e-05
cat__neighbourhood_cleansed_Brownsville,8.746523215646917e-05
cat__neighbourhood_cleansed_Morningside Heights,7.902924645611922e-05
cat__neighbourhood_cleansed_Park Slope,7.567156447763018e-05
cat__neighbourhood_cleansed_Fort Greene,7.047405481247729e-05
cat__neighbourhood_cleansed_Prospect Heights,6.577924658518408e-05
cat__neighbourhood_cleansed_Arverne,6.536097600052752e-05
cat__property_type_Room in aparthotel,6.0823146509788077e-05
cat__neighbourhood_cleansed_Tribeca,6.034417945694487e-05
cat__neighbourhood_cleansed_Jackson Heights,6.0059395387609164e-05
cat__neighbourhood_cleansed_Inwood,5.939014642063147e-05
cat__neighbourhood_cleansed_Greenwich Village,5.80141528289036e-05
cat__neighbourhood_cleansed_Ditmars Steinway,5.763488106560443e-05
cat__neighbourhood_cleansed_East Elmhurst,5.486078229072764e-05
cat__neighbourhood_cleansed_Springfield Gardens,5.182075130536853e-05
cat__neighbourhood_cleansed_Ozone Park,5.051473370402259e-05
cat__neighbourhood_cleansed_Far Rockaway,4.882046705069738e-05
cat__neighbourhood_cleansed_Chinatown,4.712569523648289e-05
cat__neighbourhood_cleansed_St. Albans,4.35805209786976e-05
cat__neighbourhood_cleansed_Flatlands,4.3482899022286305e-05
cat__property_type_Entire place,4.001239323107034e-05
cat__room_type_Shared room,3.8722918567491716e-05
cat__neighbourhood_cleansed_Downtown Brooklyn,3.816379867243404e-05
cat__neighbourhood_cleansed_Carroll Gardens,3.7062465106081746e-05
cat__neighbourhood_cleansed_Battery Park City,3.557875589017068e-05
cat__neighbourhood_cleansed_Forest Hills,3.468622003300598e-05
cat__property_type_Private room in resort,3.327659352963491e-05
cat__neighbourhood_cleansed_Sheepshead Bay,3.3193700590452445e-05
cat__neighbourhood_cleansed_Windsor Terrace,3.305541397611365e-05
cat__neighbourhood_cleansed_Rosedale,3.300185411072471e-05
cat__property_type_Shared room in rental unit,3.139680100294302e-05
cat__neighbourhood_cleansed_Grant City,2.9080985581443653e-05
cat__neighbourhood_cleansed_Nolita,2.883657513793936e-05
cat__property_type_Private room in bed and breakfast,2.8803022511517778e-05
cat__neighbourhood_cleansed_Wakefield,2.8586425594854952e-05
cat__neighbourhood_cleansed_South Slope,2.8559028877678242e-05
cat__neighbourhood_cleansed_Gowanus,2.788148683029616e-05
cat__property_type_Private room in hostel,2.7630956024648506e-05
cat__neighbourhood_cleansed_Brighton Beach,2.6952249758603307e-05
cat__neighbourhood_cleansed_Boerum Hill,2.5282030236201963e-05
cat__neighbourhood_cleansed_Rockaway Beach,2.3729685939643718e-05
